repository,month,state
ANYbotics/grid_map,2018-01,Zombie
ANYbotics/grid_map,2018-02,Zombie
ANYbotics/grid_map,2018-03,Zombie
ANYbotics/grid_map,2018-04,Zombie
ANYbotics/grid_map,2018-05,Zombie
ANYbotics/grid_map,2018-06,Zombie
ANYbotics/grid_map,2018-07,Zombie
ANYbotics/grid_map,2018-08,Running
ANYbotics/grid_map,2018-09,Zombie
ANYbotics/grid_map,2018-10,Zombie
ANYbotics/grid_map,2018-11,Zombie
ANYbotics/grid_map,2018-12,Zombie
ANYbotics/grid_map,2019-01,Running
ANYbotics/grid_map,2019-02,Running
ANYbotics/grid_map,2019-03,Running
ANYbotics/grid_map,2019-04,Running
ANYbotics/grid_map,2019-05,Running
ANYbotics/grid_map,2019-06,Running
ANYbotics/grid_map,2019-07,Running
ANYbotics/grid_map,2019-08,Running
ANYbotics/grid_map,2019-09,Running
ANYbotics/grid_map,2019-10,Running
ANYbotics/grid_map,2019-11,Running
ANYbotics/grid_map,2019-12,Running
ANYbotics/grid_map,2020-01,Running
ANYbotics/grid_map,2020-02,Running
ANYbotics/grid_map,2020-03,Running
ANYbotics/grid_map,2020-04,Zombie
ANYbotics/grid_map,2020-05,Running
ANYbotics/grid_map,2020-06,Running
ANYbotics/grid_map,2020-07,Running
ANYbotics/grid_map,2020-08,Running
ANYbotics/grid_map,2020-09,Running
ANYbotics/grid_map,2020-10,Running
ANYbotics/grid_map,2020-11,Running
ANYbotics/grid_map,2020-12,Running
ANYbotics/grid_map,2021-01,Running
ANYbotics/grid_map,2021-02,Running
ANYbotics/grid_map,2021-03,Running
ANYbotics/grid_map,2021-04,Running
ANYbotics/grid_map,2021-05,Zombie
ANYbotics/grid_map,2021-06,Running
ANYbotics/grid_map,2021-07,Running
ANYbotics/grid_map,2021-08,Running
ANYbotics/grid_map,2021-09,Zombie
ANYbotics/grid_map,2021-10,Running
ANYbotics/grid_map,2021-11,Running
ANYbotics/grid_map,2021-12,Running
ANYbotics/grid_map,2022-01,Running
ANYbotics/grid_map,2022-02,Running
ANYbotics/grid_map,2022-03,Running
ANYbotics/grid_map,2022-04,Running
ANYbotics/grid_map,2022-05,Running
ANYbotics/grid_map,2022-06,Running
ANYbotics/grid_map,2022-07,Running
ANYbotics/grid_map,2022-08,Running
ANYbotics/grid_map,2022-09,Zombie
ANYbotics/grid_map,2022-10,Running
ANYbotics/grid_map,2022-11,Running
ANYbotics/grid_map,2022-12,Zombie
ANYbotics/grid_map,2023-01,Running
ANYbotics/grid_map,2023-02,Running
ANYbotics/grid_map,2023-03,Running
ANYbotics/grid_map,2023-04,Running
ANYbotics/grid_map,2023-05,Running
ANYbotics/grid_map,2023-06,Zombie
ANYbotics/grid_map,2023-07,Running
