repository,path,final_state,is_alive,first_month,last_activity_month,lifespan_months
LeoRover/leo_simulator-ros2,Running(3m)-Dead(1m)-Running(1m)-Zombie(2m)-Running(1m)-Zombie(1m)-Dead(3m)-Zombie(2m)-Running(1m)-Dead(4m)-Running(1m)-Dead(2m)-Zombie(1m)-Dead(8m),Dead,False,2023-09,2025-07,31
MOCAP4ROS2-Project/mocap4r2,Running(2m)-Dead(1m)-Running(1m)-Dead(6m)-Running(2m)-Dead(1m)-Zombie(1m)-Dead(5m)-Running(1m)-Dead(3m)-Running(1m)-Dead(4m)-Zombie(2m)-Dead(2m)-Zombie(2m)-Dead(3m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Dead(5m),Dead,True,2022-06,2025-10,46
MOCAP4ROS2-Project/mocap4r2_msgs,Running(1m)-Zombie(1m)-Running(5m)-Dead(3m)-Running(2m)-Dead(13m)-Running(1m)-Dead(8m)-Running(1m)-Dead(6m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(3m)-Running(2m)-Dead(3m)-Zombie(1m)-Dead(11m)-Zombie(1m)-Running(1m)-Dead(4m),Dead,True,2020-06,2025-11,70
MOLAorg/mola,Running(5m)-Dead(1m)-Running(2m)-Zombie(1m)-Running(4m)-Zombie(1m)-Dead(2m)-Running(2m)-Dead(1m)-Running(10m)-Zombie(1m)-Running(8m)-Dead(3m)-Running(2m)-Dead(3m)-Zombie(2m)-Dead(1m)-Running(1m)-Dead(2m)-Running(1m)-Dead(4m)-Running(31m)-Zombie(1m),Zombie,True,2018-11,2026-03,89
MOLAorg/mola_common,Running(1m)-Dead(1m)-Running(1m)-Dead(3m)-Running(2m)-Dead(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(9m)-Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Running(2m)-Dead(8m)-Running(1m)-Dead(12m)-Running(1m)-Dead(7m)-Running(2m)-Dead(2m)-Running(2m)-Dead(1m)-Running(2m)-Dead(3m)-Running(1m)-Dead(7m)-Running(3m)-Dead(1m)-Running(3m)-Dead(5m),Dead,True,2018-11,2025-10,89
MOLAorg/mola_gnss_to_markers,Running(1m)-Dead(4m)-Running(1m)-Dead(2m)-Running(1m)-Dead(4m)-Running(1m)-Dead(1m)-Running(1m)-Dead(3m),Dead,True,2024-09,2025-12,19
MOLAorg/mola_imu_preintegration,Running(2m)-Dead(1m)-Running(7m)-Dead(2m)-Running(7m)-Dead(2m)-Running(4m)-Dead(1m)-Running(1m)-Dead(1m),Dead,True,2023-12,2026-02,28
MOLAorg/mola_lidar_odometry,Running(1m)-Dead(30m)-Running(30m)-Zombie(1m),Zombie,True,2021-02,2026-03,62
MOLAorg/mola_sm_loop_closure,Running(8m)-Dead(5m)-Running(3m)-Dead(2m)-Running(7m)-Dead(1m),Dead,True,2024-02,2026-02,26
MOLAorg/mola_state_estimation,Running(11m)-Dead(1m)-Running(7m)-Dead(1m)-Running(7m)-Zombie(1m),Zombie,True,2023-12,2026-03,28
MOLAorg/mola_test_datasets,Running(1m)-Dead(54m)-Running(1m)-Dead(1m)-Running(3m)-Dead(1m)-Running(1m)-Dead(5m)-Running(1m)-Dead(3m)-Running(1m)-Dead(1m)-Running(1m)-Dead(8m),Dead,False,2019-06,2025-07,82
MOLAorg/mp2p_icp,Running(1m)-Dead(5m)-Running(1m)-Dead(4m)-Running(1m)-Dead(3m)-Running(8m)-Dead(2m)-Running(5m)-Dead(1m)-Running(8m)-Dead(2m)-Running(1m)-Dead(1m)-Running(1m)-Dead(4m)-Running(1m)-Dead(2m)-Running(1m)-Dead(2m)-Running(21m)-Dead(1m)-Running(3m)-Dead(1m)-Running(7m)-Zombie(1m),Zombie,True,2018-12,2026-03,88
MRPT/gtsam2mrpt_serial,Running(1m)-Dead(6m)-Running(1m)-Dead(37m)-Running(2m)-Dead(1m),Dead,True,2022-04,2026-02,48
